1,HPLC,女,水瓶座,1422,127,256,2.8,0,2016-12-15 08:23:04,user,NA
2,zwei,男,保密,307,36,117,1.2,0,2018-01-25 11:02:42,user,NA
3,SYSOP,保密,保密,1408,3,999,5.0,0,2017-12-20 00:10:26,user,0
4,glgjssy,保密,摩羯座,56,74,356,0.8,0,2018-01-18 15:37:59,user,NA
5,hewei,保密,保密,6700,3989,999,7.5,0,2016-08-16 22:44:01,user,NA
6,Witney,女,摩羯座,1130,37,573,2.4,0,2018-01-27 10:47:09,user,NA
7,funsin,男,狮子座,944,87,573,2.7,0,2018-01-27 08:34:21,user,NA
8,yusheng,男,天蝎座,238,0,101,1.6,0,2018-01-08 20:34:42,user,NA
9,liboneao,男,双子座,1243,409,641,3.3,0,2018-01-03 16:52:50,user,NA
10,modus,男,天秤座,1379,27,161,2.4,0,2016-09-11 11:36:15,user,NA
11,intermittent,女,巨蟹座,2449,26,528,2.4,0,2017-09-13 11:15:36,user,NA
12,zhutengjiao,男,双子座,768,999,154,3.7,0,2016-09-03 15:12:22,user,NA
13,kuma,保密,狮子座,159,2,96,1.0,0,2018-01-03 20:28:58,user,NA
14,wgsonic,男,射手座,784,17,378,2.3,0,2018-01-09 09:51:48,user,NA
15,Bingqing,女,保密,5,0,92,0.0,0,2017-12-30 23:44:01,user,NA
16,mein,男,天蝎座,1413,458,394,3.4,0,2018-01-23 00:00:51,user,NA
17,hiragicc,男,狮子座,24,1,115,1.2,0,2018-01-22 15:38:07,user,NA
18,Miwako,男,保密,48,30,116,0.7,0,2018-01-24 10:05:47,user,NA
19,smilezyf,男,牡羊座,4074,60,639,2.6,0,2018-01-02 11:01:56,user,NA
20,Soviet,男,水瓶座,1383,648,656,3.5,0,2018-01-19 11:49:05,user,NA
21,dinghao,男,保密,2,0,26,0.0,0,2018-01-24 06:31:50,user,NA
22,rainierainie,女,巨蟹座,243,33,622,2.4,0,2018-01-26 13:52:18,user,NA
23,hellocelia,女,射手座,1418,43,664,2.5,0,2018-01-26 20:03:33,user,NA
24,IDODO,女,金牛座,641,118,422,2.8,1,2017-05-30 10:27:11,user,NA
25,MYMAYA,保密,保密,2293,2137,999,7.2,0,2017-06-07 17:34:33,user,NA
26,AlanShore,男,狮子座,2211,433,219,3.3,0,2016-11-08 09:55:54,user,NA
27,linfighting,保密,保密,1334,74,116,1.6,0,2018-01-23 20:07:43,user,NA
28,FCB,保密,保密,4,0,37,0.2,0,2017-11-06 08:42:44,user,NA
29,kellygirl,女,天蝎座,374,125,424,2.8,0,2017-05-31 21:41:33,user,NA
30,tinder,男,双鱼座,2300,36,149,2.4,0,2016-08-30 11:06:39,user,NA
31,liugh,男,天秤座,1,0,9,0.0,0,2018-01-07 08:44:18,user,NA
32,Yasmina,保密,保密,82,7,319,2.1,0,2017-09-19 09:43:17,user,NA
33,opton,男,保密,4,0,109,0.0,0,2018-01-17 06:28:40,user,NA
34,qiu,男,天秤座,1808,22,604,2.3,0,2018-01-27 10:21:37,user,NA
